ts: 2236.843, i: 0.070984, j: 0.377441, k: -0.193420, real: 0.902832, acc: 3.141602
ts: 2271.543, i: 0.073425, j: 0.375977, k: -0.196472, real: 0.902588, acc: 3.141602
ts: 2304.321, i: 0.077454, j: 0.374817, k: -0.201355, real: 0.901672, acc: 3.141602
ts: 2341.619, i: 0.080750, j: 0.373962, k: -0.205994, real: 0.900635, acc: 3.141602
ts: 2371.990, i: 0.083679, j: 0.372498, k: -0.210327, real: 0.900024, acc: 3.141602
ts: 2406.829, i: 0.088257, j: 0.371277, k: -0.215820, real: 0.898804, acc: 3.141602
ts: 2439.444, i: 0.091919, j: 0.371094, k: -0.220276, real: 0.897400, acc: 3.141602
ts: 2472.059, i: 0.095642, j: 0.370361, k: -0.224365, real: 0.896301, acc: 3.141602
ts: 2507.370, i: 0.099304, j: 0.369019, k: -0.228699, real: 0.895386, acc: 3.141602
ts: 2549.699, i: 0.105957, j: 0.367737, k: -0.234070, real: 0.893738, acc: 3.141602
ts: 2599.712, i: 0.112122, j: 0.366638, k: -0.242065, real: 0.891296, acc: 3.141602
ts: 2609.874, i: 0.113342, j: 0.366150, k: -0.243225, real: 0.891052, acc: 3.141602
ts: 2639.972, i: 0.116821, j: 0.364746, k: -0.247314, real: 0.890015, acc: 3.141602
ts: 2677.886, i: 0.120850, j: 0.363342, k: -0.254028, real: 0.888184, acc: 3.141602
ts: 2710.398, i: 0.123535, j: 0.362427, k: -0.259094, real: 0.886719, acc: 3.141602
ts: 2742.618, i: 0.126831, j: 0.360596, k: -0.263733, real: 0.885620, acc: 3.141602
ts: 2777.573, i: 0.130554, j: 0.358337, k: -0.269775, real: 0.884216, acc: 3.141602
ts: 2810.194, i: 0.133240, j: 0.358154, k: -0.275269, real: 0.882141, acc: 3.141602
ts: 2842.867, i: 0.135193, j: 0.357605, k: -0.280701, real: 0.880371, acc: 3.141602
ts: 2875.300, i: 0.138000, j: 0.357239, k: -0.285156, real: 0.878662, acc: 3.141602
ts: 2907.906, i: 0.140259, j: 0.357117, k: -0.288940, real: 0.877075, acc: 3.141602
ts: 2940.418, i: 0.140808, j: 0.357300, k: -0.293030, real: 0.875549, acc: 3.141602
ts: 2973.458, i: 0.141357, j: 0.357666, k: -0.298096, real: 0.873657, acc: 3.141602
ts: 3000.510, i: 0.142944, j: 0.358032, k: -0.302856, real: 0.871582, acc: 3.141602
ts: 3035.722, i: 0.145447, j: 0.357971, k: -0.308533, real: 0.869202, acc: 3.141602
ts: 3068.143, i: 0.147827, j: 0.358521, k: -0.314331, real: 0.866516, acc: 3.141602
ts: 3104.938, i: 0.148865, j: 0.357483, k: -0.321289, real: 0.864197, acc: 3.141602
ts: 3138.692, i: 0.150208, j: 0.354797, k: -0.327576, real: 0.862732, acc: 3.141602
ts: 3173.287, i: 0.152710, j: 0.352600, k: -0.333862, real: 0.860718, acc: 3.141602
ts: 3205.926, i: 0.156433, j: 0.350952, k: -0.338989, real: 0.858765, acc: 3.141602
ts: 3238.948, i: 0.159851, j: 0.349976, k: -0.343750, real: 0.856628, acc: 3.141602
ts: 3273.631, i: 0.162781, j: 0.350037, k: -0.347717, real: 0.854431, acc: 3.141602
ts: 3306.203, i: 0.164673, j: 0.350220, k: -0.350830, real: 0.852722, acc: 3.141602
ts: 3346.303, i: 0.165955, j: 0.350464, k: -0.351379, real: 0.852173, acc: 3.141602
ts: 3371.570, i: 0.166260, j: 0.350586, k: -0.350281, real: 0.852478, acc: 3.141602
ts: 3408.891, i: 0.167908, j: 0.352051, k: -0.347778, real: 0.852600, acc: 3.141602
ts: 3441.372, i: 0.167297, j: 0.351929, k: -0.343933, real: 0.854309, acc: 3.141602
ts: 3476.597, i: 0.166870, j: 0.352905, k: -0.340271, real: 0.855469, acc: 3.141602
ts: 3509.098, i: 0.165833, j: 0.353760, k: -0.334961, real: 0.857422, acc: 3.141602
ts: 3544.451, i: 0.166809, j: 0.357422, k: -0.330811, real: 0.857300, acc: 3.141602
ts: 3574.169, i: 0.171387, j: 0.362061, k: -0.327698, real: 0.855652, acc: 3.141602
ts: 3609.395, i: 0.174194, j: 0.365662, k: -0.323730, real: 0.855103, acc: 3.141602
ts: 3661.759, i: 0.173889, j: 0.367310, k: -0.318298, real: 0.856445, acc: 3.141602
ts: 3671.984, i: 0.174255, j: 0.367493, k: -0.316956, real: 0.856812, acc: 3.141602
ts: 3706.866, i: 0.177185, j: 0.369141, k: -0.312988, real: 0.856995, acc: 3.141602
ts: 3749.527, i: 0.175232, j: 0.369324, k: -0.310364, real: 0.858215, acc: 3.141602
ts: 3794.720, i: 0.176514, j: 0.370056, k: -0.308960, real: 0.858154, acc: 3.141602
ts: 3807.009, i: 0.177368, j: 0.370422, k: -0.307861, real: 0.858215, acc: 3.141602
ts: 3839.630, i: 0.176147, j: 0.369751, k: -0.305115, real: 0.859741, acc: 3.141602
ts: 3872.208, i: 0.174438, j: 0.368286, k: -0.303406, real: 0.861328, acc: 3.141602
ts: 3907.620, i: 0.174744, j: 0.367493, k: -0.303345, real: 0.861633, acc: 3.141602
ts: 3939.971, i: 0.170227, j: 0.367554, k: -0.301758, real: 0.863037, acc: 3.141602
ts: 3972.611, i: 0.166260, j: 0.366089, k: -0.298767, real: 0.865479, acc: 3.141602
ts: 4005.088, i: 0.165039, j: 0.366455, k: -0.298279, real: 0.865723, acc: 3.141602
ts: 4039.949, i: 0.157776, j: 0.364868, k: -0.295959, real: 0.868591, acc: 3.141602
ts: 4072.574, i: 0.148193, j: 0.364380, k: -0.292358, real: 0.871643, acc: 3.141602
ts: 4105.528, i: 0.149048, j: 0.364563, k: -0.290833, real: 0.871948, acc: 3.141602
ts: 4142.715, i: 0.144226, j: 0.364075, k: -0.286499, real: 0.874390, acc: 3.141602
ts: 4175.192, i: 0.138184, j: 0.364502, k: -0.281616, real: 0.876770, acc: 3.141602
ts: 4210.297, i: 0.137390, j: 0.362488, k: -0.275757, real: 0.879578, acc: 3.141602
ts: 4242.961, i: 0.128906, j: 0.359863, k: -0.267090, real: 0.884583, acc: 3.141602
ts: 4275.381, i: 0.120056, j: 0.357483, k: -0.257996, real: 0.889526, acc: 3.141602
ts: 4310.541, i: 0.113159, j: 0.354492, k: -0.248962, real: 0.894165, acc: 3.141602
